"","번호","발생시각","규모","깊이(km)","위도","경도","행정구역","시군구"
"523",678,2006-02-14 03:32:02,3,NA,"38.67 N","126.03 E","북한"," 황해북도 사리원 북동쪽 30km 지역"
"524",677,2006-01-21 11:29:49,2.1,NA,"36.33 N","127.26 E","충남"," 공주시 남동쪽 18km 지역"
"525",676,2006-01-19 22:53:30,2,NA,"37.19 N","128.77 E","강원"," 영월군 동쪽 27km 지역"
"526",675,2006-01-19 12:35:34,3.2,NA,"37.21 N","128.80 E","강원"," 정선군 남남동쪽 22km 지역"
"527",674,2005-12-25 03:58:51,2.6,NA,"34.76 N","127.11 E","전남"," 보성군 동남동쪽 3km 해역"
"528",673,2005-12-18 00:00:03,2.2,NA,"34.64 N","127.61 E","전남"," 여수시 남서쪽 15km 해역"
"529",672,2005-12-07 18:02:12,2.5,NA,"36.62 N","127.76 E","충북"," 괴산군 남쪽 21km 지역"
"530",671,2005-11-27 11:47:04,3.1,NA,"38.35 N","123.99 E","북한"," 인천 백령도 북서쪽 75km 해역"
"531",670,2005-11-15 09:10:50,3.1,NA,"37.21 N","128.80 E","강원"," 정선군 남남동쪽 23km 지역"
"532",669,2005-11-06 12:52:46,2.2,NA,"35.98 N","128.13 E","경북"," 김천시 남쪽 18km 지역"
"533",668,2005-10-23 01:02:47,2.7,NA,"34.98 N","127.01 E","전남"," 화순군 남남동쪽 10km 지역"
"534",667,2005-10-21 12:00:31,3.2,NA,"37.87 N","125.05 E","북한"," 황해남도 옹진 서남서쪽 28km 해역"
"535",666,2005-10-13 11:22:31,2.7,NA,"36.94 N","129.47 E","경북"," 울진군 남동쪽 9km 해역"
"536",665,2005-10-10 08:51:09,3.5,NA,"37.92 N","124.94 E","북한"," 인천 백령도 동쪽 23km 해역"
"537",664,2005-10-03 19:18:34,2.1,NA,"35.82 N","129.58 E","경북"," 포항시 남구 남동쪽 29km 해역"
"538",663,2005-09-07 17:11:12,2.1,NA,"37.09 N","127.84 E","충북"," 충주시 북서쪽 13km 지역"
"539",662,2005-08-31 12:58:12,2.2,NA,"37.13 N","129.69 E","경북"," 울진군 동북동쪽 30km 해역"
"540",661,2005-08-25 19:33:47,2.4,NA,"36.65 N","126.26 E","충남"," 태안군 남남서쪽 11km 지역"
"541",660,2005-08-24 05:06:24,3.4,NA,"34.16 N","127.03 E","전남"," 여수시 거문도 서북서쪽 30km 해역"
"542",659,2005-07-30 03:01:38,3.1,NA,"34.16 N","127.44 E","전남"," 여수시 거문도 북동쪽 19km 해역"
"543",658,2005-06-30 00:25:04,3.1,NA,"36.66 N","129.63 E","경북"," 영덕군 북동쪽 36km 해역"
"544",657,2005-06-29 23:18:05,4,NA,"34.50 N","129.05 E","경남"," 통영시 매물도 동남동쪽 46km 해역"
"545",656,2005-06-20 15:31:50,3,NA,"38.81 N","125.57 E","북한"," 황해북도 송림 북서쪽 10km 지역"
"546",655,2005-06-15 07:37:47,3,NA,"33.00 N","126.15 E","제주"," 제주시 고산 남쪽 33km 해역"
"547",654,2005-06-15 07:07:02,3.9,NA,"33.06 N","126.17 E","제주"," 제주시 고산 남쪽 26km 해역"
"548",653,2005-06-10 21:14:37,2.5,NA,"36.77 N","128.48 E","경북"," 예천군 북쪽 13km 지역"
"549",652,2005-06-10 12:49:55,2.3,NA,"36.78 N","128.49 E","경북"," 영주시 서남서쪽 12km 지역"
"550",651,2005-06-08 00:07:29,2.5,NA,"37.51 N","124.76 E","인천"," 백령도 남쪽 50km 해역"
"551",650,2005-05-15 07:22:32,2.6,NA,"38.13 N","125.60 E","북한"," 황해남도 해주 북서쪽 14km 지역"
"552",649,2005-05-01 16:27:09,3.6,NA,"35.04 N","122.99 E","전남"," 신안군 흑산면 서쪽 230km 해역"
"553",648,2005-04-21 12:37:34,3,NA,"34.91 N","125.47 E","전남"," 신안군 흑산면 북쪽 29km 해역"
"554",647,2005-04-09 23:04:51,2.4,NA,"35.67 N","130.03 E","울산"," 동구 동북동쪽 58km 해역"
"555",646,2005-04-09 19:14:00,2.4,NA,"37.17 N","125.41 E","인천"," 옹진군 연평도 남남서쪽 61km 해역"
"556",645,2005-04-01 00:15:20,2.4,NA,"33.56 N","126.97 E","제주"," 서귀포시 성산 북북동쪽 21km 해역"
"557",644,2005-03-31 19:32:41,2.2,NA,"36.43 N","125.57 E","충남"," 태안군 서격렬비열도 남쪽 19km 해역"
"558",643,2005-03-17 23:39:52,3.1,NA,"32.47 N","125.85 E","제주"," 서귀포시 남서쪽 108km 해역"
"559",642,2005-03-12 11:56:48,2.4,NA,"38.82 N","127.14 E","북한"," 강원 회양 서북서쪽 42km 지역"
"560",641,2005-02-20 22:18:39,3.4,NA,"35.40 N","126.22 E","전남"," 영광군 서북서쪽 30km 해역"
"561",640,2005-02-07 20:16:04,2.8,NA,"36.59 N","130.02 E","경북"," 영덕군 동북동쪽 62km 해역"
"562",639,2005-02-05 11:27:28,2.5,NA,"33.49 N","126.36 E","제주"," 제주시 서쪽 16km 해역"
"563",638,2005-02-03 07:48:31,2.4,NA,"38.95 N","130.39 E","경북"," 울릉군 북북서쪽 169km 해역"
"564",637,2004-12-12 03:00:10,2.1,NA,"33.60 N","127.70 E","제주"," 제주시 동쪽 109km 해역"
"565",636,2004-12-10 19:41:06,2.3,NA,"32.90 N","125.80 E","제주"," 서귀포시 서남서쪽 77km 해역"
"566",635,2004-11-30 13:51:22,2.5,NA,"33.20 N","125.70 E","제주"," 서귀포시 서쪽 76km 해역"
"567",634,2004-11-28 13:15:06,2.4,NA,"37.60 N","129.50 E","강원"," 삼척시 동북동쪽 34km 해역"
"568",633,2004-11-05 01:25:46,2,NA,"37.10 N","126.10 E","인천"," 옹진군 덕적도 남남서쪽 14km 해역"
"569",632,2004-10-20 14:12:35,2.7,NA,"34.40 N","125.50 E","전남"," 신안군 흑산면 남쪽 28km 해역"
"570",631,2004-10-14 03:02:03,2.7,NA,"33.70 N","127.30 E","전남"," 여수시 거문도 남쪽 36km 해역"
"571",630,2004-10-11 19:19:32,2.2,NA,"38.00 N","125.40 E","북한"," 황해남도 옹진 북북동쪽 9km 지역"
"572",629,2004-10-04 06:24:22,2,NA,"35.50 N","128.30 E","경남"," 의령군 북쪽 20km 지역"
"573",628,2004-09-27 18:47:34,2.5,NA,"35.50 N","128.30 E","경남"," 의령군 북쪽 20km 지역"
"574",627,2004-09-24 01:40:20,2.5,NA,"33.40 N","127.10 E","제주"," 서귀포시 성산 동쪽 20km 해역"
"575",626,2004-09-15 07:47:34,2.5,NA,"37.50 N","126.90 E","서울"," 영등포구 남쪽 3km 지역"
"576",625,2004-08-13 22:42:04,2.7,NA,"37.60 N","126.50 E","인천"," 강화군 남쪽 16km 지역"
"577",624,2004-08-11 04:29:49,2.3,NA,"33.30 N","126.20 E","제주"," 제주시 남서쪽 38km 지역"
"578",623,2004-08-06 05:32:53,3.3,NA,"35.90 N","127.40 E","전북"," 진안군 북쪽 13km 지역"
"579",622,2004-07-14 20:37:55,2.1,NA,"36.40 N","127.30 E","대전"," 유성구 북서쪽 7km 지역"
"580",621,2004-07-14 13:44:13,2.6,NA,"33.40 N","127.20 E","제주"," 제주시 동쪽 63km 해역"
"581",620,2004-07-13 21:08:52,2.1,NA,"38.50 N","126.00 E","북한"," 황해북도 사리원 동쪽 21km 지역"
"582",619,2004-06-11 16:25:40,2.1,NA,"37.30 N","128.70 E","강원"," 정선군 남남동쪽 9km 지역"
"583",618,2004-06-01 20:22:19,3.5,NA,"37.20 N","130.00 E","경북"," 울진군 동북동쪽 58km 해역"
"584",617,2004-05-30 21:45:55,2.2,NA,"37.00 N","129.30 E","경북"," 울진군 서쪽 9km 지역"
"585",616,2004-05-30 04:45:41,2,NA,"36.60 N","130.00 E","경북"," 영덕군 동북동쪽 60km 해역"
"586",615,2004-05-29 19:14:24,5.2,NA,"36.80 N","130.20 E","경북"," 울진군 동남동쪽 74km 해역"
"587",614,2004-05-25 18:08:12,2.7,NA,"39.50 N","124.90 E","북한"," 평안북도 정주 남서쪽 34km 해역"
"588",613,2004-05-17 15:05:42,2.1,NA,"36.40 N","125.90 E","전북"," 군산시 어청도 북북서쪽 31km 해역"
"589",612,2004-05-06 23:10:12,2,NA,"37.50 N","129.90 E","강원"," 삼척시 동쪽 65km 해역"
"590",611,2004-05-05 12:22:33,3.1,NA,"32.70 N","126.00 E","제주"," 서귀포시 남서쪽 78km 해역"
"591",610,2004-05-05 02:15:36,2.2,NA,"33.40 N","127.30 E","제주"," 제주시 동쪽 72km 해역"
"592",609,2004-05-05 01:07:56,2.2,NA,"33.40 N","127.30 E","제주"," 제주시 동쪽 72km 해역"
"593",608,2004-04-30 23:43:56,2.8,NA,"35.80 N","129.40 E","경북"," 경주시 동남동쪽 17km 지역"
"594",607,2004-04-29 17:31:13,2.9,NA,"37.40 N","123.80 E","인천"," 백령도 남서쪽 99km 해역"
"595",606,2004-04-26 13:29:25,3.9,NA,"35.80 N","128.20 E","경북"," 고령군 북서쪽 10km 지역"
"596",605,2004-04-15 23:25:43,2,NA,"34.90 N","124.60 E","전남"," 신안군 흑산면 서북서쪽 84km 해역"
"597",604,2004-04-02 12:04:05,2.9,NA,"39.40 N","126.00 E","북한"," 평안남도 평성 북동쪽 21km 지역"
"598",603,2004-03-07 20:58:06,2.9,NA,"35.80 N","125.40 E","전북"," 군산시 어청도 남서쪽 63km 해역"
"599",602,2004-02-26 05:51:15,2.1,NA,"37.20 N","128.90 E","강원"," 정선군 남동쪽 29km 지역"
"600",601,2004-02-06 07:30:33,2.4,NA,"38.60 N","126.10 E","북한"," 황해북도 사리원 동북동쪽 31km 지역"
"601",600,2004-01-29 20:22:24,2.4,NA,"35.90 N","128.50 E","경북"," 칠곡군 남동쪽 13km 지역"
"602",599,2004-01-23 05:27:09,2,NA,"35.40 N","128.00 E","경남"," 산청군 동쪽 11km 지역"
"603",598,2004-01-17 09:47:40,2.9,NA,"33.70 N","125.80 E","제주"," 제주시 서북서쪽 72km 해역"
"604",597,2004-01-06 01:49:42,3.2,NA,"38.70 N","125.10 E","북한"," 남포 서남서쪽 31km 해역"
"605",596,2004-01-05 06:11:51,2.9,NA,"36.20 N","127.00 E","충남"," 논산시 서북서쪽 9km 지역"
"606",595,2003-10-17 11:55:57,2,NA,"35.80 N","129.40 E","경북"," 경주시 동남동쪽 17km 지역"
"607",594,2003-10-14 01:44:38,2.4,NA,"34.10 N","127.50 E","전남"," 고흥군 남남동쪽 60km 해역"
"608",593,2003-10-13 18:12:05,3.6,NA,"37.00 N","126.50 E","충남"," 당진군 북서쪽 17km 지역"
"609",592,2003-10-05 05:03:53,2.1,NA,"36.30 N","127.30 E","대전"," 유성구 남서쪽 8km 지역"
"610",591,2003-10-04 04:59:22,2.3,NA,"33.20 N","126.90 E","제주"," 서귀포시 동쪽 37km 해역"
"611",590,2003-09-25 15:24:17,2.5,NA,"36.00 N","129.60 E","경북"," 포항시 북구 동남동쪽 21km 해역"
"612",589,2003-09-24 03:26:56,2.3,NA,"35.80 N","128.50 E","대구"," 달성군 서남서쪽 6km 지역"
"613",588,2003-09-19 20:48:28,2.9,NA,"37.50 N","124.50 E","인천"," 백령도 남남서쪽 53km 해역"
"614",587,2003-08-12 01:25:56,2.6,NA,"34.70 N","130.30 E","부산"," 기장군 동남동쪽 115km 해역"
"615",586,2003-08-07 11:04:20,2.7,NA,"36.80 N","129.50 E","경북"," 울진군 남남동쪽 23km 해역"
"616",585,2003-07-28 06:12:55,2.7,NA,"35.10 N","124.70 E","전남"," 신안군 흑산면 북서쪽 86km 해역"
"617",584,2003-07-18 17:05:23,2.9,NA,"35.00 N","124.30 E","전남"," 신안군 흑산면 서북서쪽 114km 해역"
"618",583,2003-07-09 15:20:10,2.7,NA,"34.90 N","128.20 E","경남"," 고성군 남서쪽 14km 지역"
"619",582,2003-07-05 12:18:28,3,NA,"37.40 N","125.30 E","인천"," 옹진군 연평도 남서쪽 46km 해역"
"620",581,2003-06-29 11:53:51,2.1,NA,"35.70 N","124.80 E","전북"," 군산시 어청도 서남서쪽 115km 해역"
"621",580,2003-06-09 10:14:04,4,NA,"36.00 N","123.60 E","충남"," 태안군 서격렬비열도 서남서쪽 186km 해역"
"622",579,2003-06-08 02:07:57,2.6,NA,"36.50 N","125.10 E","충남"," 태안군 서격렬비열도 서남서쪽 40km 해역"
"623",578,2003-06-04 03:34:10,2.7,NA,"35.20 N","125.20 E","전남"," 신안군 흑산면 북북서쪽 66km 해역"
"624",577,2003-04-16 02:55:25,3.3,NA,"36.40 N","126.30 E","충남"," 보령시 서북서쪽 29km 해역"
"625",576,2003-04-05 00:56:09,2.4,NA,"36.20 N","127.30 E","충남"," 논산시 동쪽 18km 지역"
"626",575,2003-04-05 00:31:32,2.9,NA,"36.20 N","127.30 E","충남"," 논산시 동쪽 18km 지역"
"627",574,2003-04-05 00:25:08,2.5,NA,"36.20 N","127.30 E","충남"," 논산시 동쪽 18km 지역"
