"","시간","규모","진앙(km)","위도","경도","행정구역","시군구"
"148","2018-02-27 16:13",1,10,36.62,126.47,"충남"," 홍성군 서쪽 17km 지역"
"149","2018-02-28 0:11",1.2,8,36.08,129.34,"경북"," 포항시 북구 북서쪽 5km 지역"
"150","2018-02-28 0:35",1.6,14,35.26,127.85,"경남"," 산청군 남쪽 17km 지역"
"151","2018-02-28 4:26",0.9,8,36.09,129.32,"경북"," 포항시 북구 북서쪽 7km 지역"
"152","2018-03-04 8:29",1.8,7,36.14,129.36,"경북"," 포항시 북구 북쪽 11km 지역"
"153","2018-03-06 7:42",1.9,15,36.48,128.24,"경북"," 상주시 북동쪽 11km 지역"
"154","2018-03-06 18:09",1.3,14,36.57,128.24,"경북"," 문경시 동남동쪽 5km 지역"
"155","2018-03-07 2:03",1.3,14,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"156","2018-03-07 3:22",1.4,11,35.79,129.17,"경북"," 경주시 남서쪽 7km 지역"
"157","2018-03-07 3:28",1.7,13,37.98,129.01,"강원"," 강릉시 북북동쪽 28km 해역"
"158","2018-03-07 18:59",1.7,16,35.33,126.19,"전남"," 영광군 안마도 동쪽 15km 해역"
"159","2018-03-08 10:30",1.8,14,35.28,125.59,"전남"," 영광군 안마도 서쪽 40km 해역"
"160","2018-03-08 17:16",1.2,4,36.07,129.32,"경북"," 포항시 북구 북서쪽 5km 지역"
"161","2018-03-08 22:39",1.3,6,36.1,129.33,"경북"," 포항시 북구 북북서쪽 7km 지역"
"162","2018-03-09 0:06",1.3,15,35.3,127.34,"전남"," 곡성군 동북동쪽 5km 지역"
"163","2018-03-09 0:22",1.2,15,35.3,127.33,"전남"," 곡성군 북동쪽 4km 지역"
"164","2018-03-09 1:26",1.8,14,35.3,127.33,"전남"," 곡성군 동북동쪽 3km   지역"
"165","2018-03-09 4:06",1.4,15,35.3,127.33,"전남"," 곡성군 동북동쪽 4km  지역"
"166","2018-03-09 5:12",1.1,13,35.29,127.33,"전남"," 곡성군 동북동쪽 3km   지역"
"167","2018-03-09 21:50",1.1,11,36.36,127.63,"충북"," 옥천군 북동쪽 8km 지역"
"168","2018-03-10 21:33",1.8,10,34.81,126.45,"전남"," 목포시 동쪽 5km 지역"
"169","2018-03-10 23:20",1,9,36.12,129.37,"경북"," 포항시 북구 북쪽 9km 지역"
"170","2018-03-11 11:06",1.2,15,36.29,127.92,"경북"," 상주시 서남서쪽 25km 지역"
"171","2018-03-11 12:48",1.4,7,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"172","2018-03-11 13:22",1.7,10,38.18,126.43,"북한"," 황해북도 평산 남쪽 17km 지역"
"173","2018-03-11 14:54",1.1,7,35.77,127.97,"경남"," 거창군 북북동쪽 10km 지역"
"174","2018-03-11 16:28",1.5,11,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"175","2018-03-12 4:41",0.9,13,35.75,129.17,"경북"," 경주시 남남서쪽 11km 지역"
"176","2018-03-13 2:33",1.1,6,37.19,129.07,"강원"," 삼척시 남남서쪽 30km 지역"
"177","2018-03-13 6:00",1.6,11,36.27,127.44,"대전"," 동구 남남서쪽 3km  지역"
"178","2018-03-13 7:25",1.6,13,35.76,129.18,"경북"," 경주시 남남서쪽 9km 지역"
"179","2018-03-13 7:39",1.3,6,36.14,129.37,"경북"," 포항시 북구 북쪽 11km 지역"
"180","2018-03-13 9:52",1.8,16,35.59,126.37,"전북"," 부안군 위도 동남동쪽 7km 해역"
"181","2018-03-14 7:57",1.2,6,36.13,129.36,"경북"," 포항시 북구 북쪽 10km 지역"
"182","2018-03-14 18:00",0.8,8,36.11,129.33,"경북"," 포항시 북구 북북서쪽 8km 지역"
"183","2018-03-15 5:27",1.7,15,36.74,125.74,"충남"," 태안군 서격렬비도 북동쪽 24km 해역"
"184","2018-03-16 1:40",1.9,16,36.11,128.96,"경북"," 영천시 북쪽 15km 지역"
"185","2018-03-17 0:47",1.7,13,37.86,126.05,"북한"," 황해북도 해주 남동쪽 36km 지역"
"186","2018-03-17 3:49",1,6,36.12,129.35,"경북"," 포항시 북구 북쪽 9km 지역"
"187","2018-03-17 11:31",0.9,8,35.81,127.89,"경남"," 거창군 북쪽 14km 지역"
"188","2018-03-18 0:55",1.2,7,36.11,129.34,"경북"," 포항시 북구 북북서쪽 8km 지역"
"189","2018-03-18 7:07",1.9,4,34.69,126.81,"전남"," 강진군 북북동쪽 7km 지역"
"190","2018-03-18 23:22",1.5,5,36.19,129.43,"경북"," 포항시 북구 북북서쪽 17km 해역"
"191","2018-03-20 1:15",1.4,7,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"192","2018-03-20 2:17",1.5,5,33.47,126.14,"제주"," 제주시 고산 북쪽 20km 해역"
"193","2018-03-22 5:45",1.5,8,34.61,127.34,"전남"," 고흥군 동쪽 5km 지역"
"194","2018-03-22 16:34",1.7,20,35.87,129.64,"경북"," 포항시 남구 동남동쪽 30km 해역"
"195","2018-03-23 20:14",0.8,6,36.09,129.36,"경북"," 포항시 북구 북쪽 5km 지역"
"196","2018-03-25 0:19",1.2,16,36.28,128.26,"경북"," 구미시 북북서쪽19km 지역"
"197","2018-03-25 20:49",1.4,9,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"198","2018-03-26 1:25",0.7,17,36.16,128.5,"경북"," 구미시 동북동쪽 15km 지역"
"199","2018-03-26 14:21",1.4,11,35.8,129.19,"경북"," 경주시 남남서쪽 5km 지역"
"200","2018-03-27 3:31",1.8,23,33.43,125.94,"제주"," 제주시 고산 북서쪽 26km 해역"
"201","2018-03-29 2:46",1.9,14,37.8,124.79,"인천"," 백령도 남남동쪽 20km 해역"
"202","2018-03-29 7:14",1.2,8,36.1,129.34,"경북"," 포항시 북구 북북서쪽 7km 지역"
"203","2018-03-30 1:19",1.1,10,36.08,129.32,"경북"," 포항시 북구 북서쪽 6km 지역"
"204","2018-03-30 1:27",1.3,13,35.76,129.21,"경북"," 경주시 남쪽 9km 지역"
"205","2018-03-30 20:59",1.3,10,36.11,129.36,"경북"," 포항시 북구 북쪽 8km 지역"
"206","2018-04-01 22:08",1,17,36.72,127.62,"충북"," 증평군 남남동쪽 8km 지역"
"207","2018-04-02 5:17",0.8,6,36.11,129.35,"경북"," 포항시 북구 북쪽 8km 지역"
"208","2018-04-02 5:33",1.3,5,36.11,129.35,"경북"," 포항시 북구 북쪽 8km 지역"
"209","2018-04-02 10:46",0.9,12,35.75,129.19,"경북"," 경주시 남남서쪽 10km 지역"
"210","2018-04-02 13:04",1.3,20,35.27,127.42,"전남"," 구례군 북북서쪽 8km 지역"
"211","2018-04-03 18:44",1.3,11,35.77,129.19,"경북"," 경주시 남남서쪽 8km 지역"
"212","2018-04-04 12:59",1.9,10,37.65,129.16,"강원"," 동해시 북북동쪽 15km 해역"
